track,method,budget,budget_type,actual_pixels_median,actual_bytes_median,vlm_images_sent,num_patches,median_ocr_runtime_sec,median_vlm_runtime_sec,n
ocr,bops,patches_2,patch,180854.0,,,,1.869,,200
ocr,bops,patches_4,patch,311910.0,,,,2.115,,200
ocr,bops,patches_8,patch,574017.0,,,,2.7,,200
ocr,jpeg,kb_100,byte,100729.0,100729.0,,,0.76,,199
ocr,jpeg,kb_200,byte,188739.5,188740.0,,,0.803,,200
ocr,jpeg,kb_50,byte,50526.0,50526.0,,,0.747,,199
ocr,jpeg,kb_500,byte,193861.5,193862.0,,,0.825,,200
ocr,original,area_1.0,,,,,,1.121,,200
ocr,resize,area_0.125,pixel,98102.0,,,,0.232,,200
ocr,resize,area_0.25,pixel,196608.0,,,,0.362,,200
ocr,resize,area_0.5,pixel,393132.0,,,,0.645,,200
ocr,resize,area_1.0,pixel,786432.0,,,,0.947,,200
ocr,webp,kb_100,byte,99394.0,99394.0,,,2.632,,199
ocr,webp,kb_200,byte,170116.0,170116.0,,,2.805,,200
ocr,webp,kb_50,byte,50380.0,50380.0,,,2.553,,199
ocr,webp,kb_500,byte,170116.0,170116.0,,,2.838,,200
vlm,bops,patches_2,patch,,,3.0,2.0,,20.905,100
vlm,bops_qa,patches_2,patch,,,3.0,2.0,,20.082,100
vlm,overview_only,patches_2,patch,,,1.0,2.0,,28.74,100
vlm,random,patches_2,patch,,,3.0,2.0,,1.812,100
vlm,resize,area_0.25,pixel,,,1.0,0.0,,2.508,100
vlm,uniform,patches_2,patch,,,3.0,2.0,,2.067,100
