method,budget,cer_mean,wer_mean,word_recall_mean,word_precision_mean,word_f1_mean,predicted_token_count_mean,duplicate_token_ratio_mean,n,byte_utilization_mean
bops,patches_2,0.8220326212951938,1.0295971926143899,0.17151958493392822,0.27359824359812884,0.18173369522972418,8.665,0.0,200,
bops,patches_4,0.904129132118774,1.1975265149412992,0.20389180555401784,0.24708831018747998,0.19238359920337,12.42,0.0,200,
bops,patches_8,1.0209014167387067,1.425782055261672,0.24015653179192456,0.21703875486533736,0.1992705205344224,17.775,0.0,200,
jpeg,kb_100,0.6767449236699153,0.8846919617733618,0.26058071301616365,0.3669587543739836,0.28750478366252596,14.236180904522612,0.05559229443045665,199,0.9676482019472362
jpeg,kb_200,0.6799545394144895,0.8864871501302127,0.2744923744689144,0.3795225162866126,0.30107135424037645,14.61,0.059347008216383335,200,0.8285157714843749
jpeg,kb_50,0.6894591142367479,0.87912869766709,0.24499075438158804,0.35295108867042946,0.27112344733712157,13.080402010050252,0.051518919165039465,199,0.9834292556532663
jpeg,kb_500,0.6771034017939285,0.8884369112009756,0.27492970772270003,0.37738498336173715,0.3012338898144696,14.805,0.057485955276337854,200,0.38840296875
original,area_1.0,0.6737639250199433,0.8832840674870834,0.27495767597784665,0.3777366503569716,0.3015149264957685,14.885,0.0580537788377479,200,
resize,area_0.125,0.8220246035300862,0.9211717810092146,0.0997582416167214,0.22429704249636814,0.1243438419043425,5.01,0.014483161614385977,200,
resize,area_0.25,0.752001283696125,0.9011715354791536,0.1634211314061988,0.2963973280163748,0.19264394077452868,8.42,0.02774205635962909,200,
resize,area_0.5,0.6854696067748729,0.8611209888459164,0.2296581691458541,0.3545675065068759,0.2625460774991877,11.86,0.04200947454978717,200,
resize,area_1.0,0.6737639250199433,0.8832840674870834,0.27495767597784665,0.3777366503569716,0.3015149264957685,14.885,0.0580537788377479,200,
webp,kb_100,0.6752184946586577,0.8823669116558014,0.26938349879561474,0.3719273268096815,0.2961192369726815,14.77889447236181,0.05820082246033799,199,0.9343937460741205
webp,kb_200,0.67456394620376,0.8777881202191528,0.2726376670822107,0.374582918006001,0.2994207754189654,14.77,0.06029739299451212,200,0.761438525390625
webp,kb_50,0.6872572829130017,0.8967725639525113,0.25715003719087326,0.35490000152548035,0.2825322423939505,14.597989949748744,0.05748853393333018,199,0.9760446765075378
webp,kb_500,0.6727489008394936,0.8765096690353069,0.2731741762093563,0.37954693142587004,0.3006451265003245,14.745,0.05860461676829448,200,0.34021517578125
